Municipio;Nombre;PrecioM2MedMunTipo;RentaMunicipio;RentaMedia;AumentoPoblacion
"""12138""";Vinaròs;1129,4;22730,0;25164,0;570,0
"""46005""";Alaquàs;904,7;22773,0;27016,0;175,0
"""46017""";Alzira;744,6;24645,0;27016,0;610,0
"""46021""";Aldaia;1047,7;22947,0;27016,0;993,0
"""46029""";Algemesí;703,0;22755,0;27016,0;-206,0
"""46078""";Burjassot;1047,0;22564,0;27016,0;1137,0
"""46094""";Catarroja;965,4;25299,0;27016,0;757,0
"""46102""";Quart de Poblet;968,1;22564,0;27016,0;544,0
"""46110""";Xirivella;926,8;22136,0;27016,0;1258,0
"""46131""";Gandia;1058,8;23819,0;27016,0;1849,0
"""46145""";Xàtiva;749,9;24497,0;27016,0;389,0
"""46161""";Marines;1011,6;22342,0;27016,0;36,0
"""46169""";Mislata;1143,4;24319,0;27016,0;1278,0
"""46181""";Oliva;1033,5;21703,0;27016,0;-369,0
"""46184""";Ontinyent;659,5;23328,0;27016,0;604,0
"""46190""";Paterna;1204,9;29339,0;27016,0;2814,0
"""46220""";Sagunto/Sagunt;831,6;26415,0;27016,0;1765,0
"""46235""";Sueca;1014,0;23856,0;27016,0;19,0
"""46244""";Torrent;1048,7;25469,0;27016,0;3395,0
"""46250""";València;1696,9;31655,0;27016,0;1936,0
"""06011""";Almendralejo;827,2;21111,0;20916,0;201,0
"""06015""";Badajoz;1204,9;27136,0;20916,0;67,0
"""06044""";Don Benito;815,7;22448,0;20916,0;351,0
"""06083""";Mérida;851,1;24760,0;20916,0;237,0
"""06153""";Villanueva de la Serena;716,4;21107,0;20916,0;-45,0
"""10037""";Cáceres;1137,2;26921,0;20942,0;-499,0
"""10148""";Plasencia;900,3;23858,0;20942,0;-802,0
"""15002""";Ames;1131,7;26866,0;27160,0;1158,0
"""15005""";Arteixo;1046,0;23486,0;27160,0;1360,0
"""15019""";Carballo;751,6;21824,0;27160,0;219,0
"""15030""";Coruña, A;1774,6;32021,0;27160,0;1369,0
"""15031""";Culleredo;1297,4;27213,0;27160,0;776,0
"""15036""";Ferrol;772,8;27253,0;27160,0;-2784,0
"""15054""";Narón;897,9;24579,0;27160,0;-367,0
"""15058""";Oleiros;1512,0;43866,0;27160,0;1724,0
"""15073""";Ribeira;975,7;25486,0;27160,0;-320,0
"""15078""";Santiago de Compostela;1735,4;29993,0;27160,0;1402,0
"""27028""";Lugo;1044,6;26038,0;22281,0;-382,0
"""32054""";Ourense;1161,6;25963,0;22496,0;-1040,0
"""36008""";Cangas;1288,6;24870,0;25026,0;218,0
"""36026""";Marín;896,5;24275,0;25026,0;-389,0
"""36038""";Pontevedra;1293,1;27970,0;25026,0;443,0
"""36045""";Redondela;975,0;22845,0;25026,0;-200,0
